CòdClienteImpakto;CódProImpakto;Item;Qtde;$ Unitário;$ Total;Unidade;Setor;SETOR2
208831;32165;Esponja dupla face anti aderente azul re                ;4;1.69;6.76;XPTO;36;BANCO DE LA NACION ARGENTINA
208831;40041;Saco de lixo 40 l preto i.t                ;1;21;21;XPTO;36;BANCO DE LA NACION ARGENTINA
208831;31066;Saco alvejado grande un                ;2;4.39;8.78;XPTO;36;BANCO DE LA NACION ARGENTINA
208831;20746;Agua sanitaria 5 l facilita                ;1;12.89;12.89;XPTO;36;BANCO DE LA NACION ARGENTINA
208831;29410;Flanela 28 cm x 38 cm unitaria branca ca                ;2;1.1;2.2;XPTO;36;BANCO DE LA NACION ARGENTINA
208831;20837;Alcool 70 desinfetante 1 l itaja                ;3;6.95;20.85;XPTO;36;BANCO DE LA NACION ARGENTINA
208831;20837;Alcool 70 desinfetante 1 l itaja                ;6;6.95;41.7;XPTO;38;FUNDACAO ABRINQ
208831;20740;Agua sanitaria 1 l super candida                ;10;3.89;38.9;XPTO;38;FUNDACAO ABRINQ
208831;20771;Desinfetante lavanda 500 ml pinho sol                ;10;9.95;99.5;XPTO;38;FUNDACAO ABRINQ
208831;31132;Vassoura multiuso com cabo azul ref 9673                ;2;18.9;37.8;XPTO;38;FUNDACAO ABRINQ
208831;31066;Saco alvejado grande un                ;10;4.39;43.9;XPTO;38;FUNDACAO ABRINQ
208831;20805;Lustra moveis 200 ml lavanda destac                ;3;11.9;35.7;XPTO;38;FUNDACAO ABRINQ
208831;20084;Luva top media amarela latex ca 40.044 s                ;4;8.8;35.2;XPTO;38;FUNDACAO ABRINQ
208831;20739;Detergente clear 500 ml ype                ;8;2.8;22.4;XPTO;38;FUNDACAO ABRINQ
208831;32165;Esponja dupla face anti aderente azul re                ;1;1.69;1.69;XPTO;38;FUNDACAO ABRINQ
208831;21248;Limpador festa flores bouquet 500 ml aja                ;10;10.5;105;XPTO;38;FUNDACAO ABRINQ
208831;20073;Saponaceo cremoso classico 250 ml radium                ;3;8.85;26.55;XPTO;38;FUNDACAO ABRINQ
208831;20746;Agua sanitaria 5 l facilita                ;1;12.89;12.89;XPTO;43;FGC
208831;31066;Saco alvejado grande un                ;5;4.39;21.95;XPTO;43;FGC
208831;20837;Alcool 70 desinfetante 1 l itaja                ;5;6.95;34.75;XPTO;43;FGC
208831;20073;Saponaceo cremoso classico 250 ml radium                ;2;8.85;17.7;XPTO;43;FGC
208831;31251;Esponja dupla face 01 pct x 10 un scotch                ;1;11.8;11.8;XPTO;43;FGC
208831;20084;Luva top media amarela latex ca 40.044 s                ;4;8.8;35.2;XPTO;43;FGC
208831;29408;Flanela 28 cm x 58 cm unitaria branca ca                ;5;1.59;7.95;XPTO;43;FGC
208831;20739;Detergente clear 500 ml ype                ;6;2.8;16.8;XPTO;43;FGC
