Cod. Produto	Descr. Produto	Valor
50343	Toalha 2 db 20 cm x 20 cm branco 1000 fl                	R$ 13.96
50347	Toalha 2 db 20 cm x 20 cm branco paper m                	R$ 9.59
50126	Toalha 2 db 20 cm x 21 cm 100% embalagem                	R$ 9.59
50348	Toalha 2 db 22 cm x 20 cm branco 2000 fl                	R$ 33.90
50419	Toalha 2 db f.dupla 21,5 cm x 22,2 cm bc                	R$ 169.90
50337	Toalha 2 db f.dupla 22 cm x 20 cm bco 20                	R$ 64.90
10137	Touca descartavel tnt 100 un                	R$ 16.90
20962	Vaselina liquida comum 1 l                	R$ 21.30
31025	Vassoura de palha com cabo plastificado                	R$ 24.50
31127	Vassoura de teto cabo madeira 2 m                	R$ 15.94
32089	Vassoura magica varredora feiticeira lim                	R$ 105.90
31132	Vassoura multiuso com cabo azul ref 9673                	R$ 18.90
30136	Vassoura multiuso com cabo fiory shangri                	R$ 11.50
31226	Vassoura nylon n. 5 sem cabo                	R$ 8.50
31223	Vassoura piacava n. 5 sem cabo                	R$ 8.99
31221	Vassoura tipo novica sem cabo                	R$ 4.50
